registroDate1;registrotime1;registroFloat1;registroFloat2
08102017;12:05:00;1536203.25;1.123.182.375
08102017;12:10:00;1.531.880.875;1.118.127.375
08102017;12:15:00;1551208;1148380
08102017;12:20:00;1550618.75;1.154.006.375
08102017;12:25:00;1554279;1.147.276.875
08102017;12:30:00;1547201.5;1.143.017.125
08102017;12:35:00;1609083.75;1.169.232.625
08102017;12:40:00;1674907.75;1203416.75
08102017;12:45:00;1673078;1.191.884.875
08102017;12:50:00;1695917.75;1218880
08102017;12:55:00;1.644.618.125;1.173.683.625
08102017;13:00:00;1.663.735.375;1.186.694.375
08102017;13:05:00;1681463.75;1.198.123.625
08102017;13:10:00;1.691.547.875;1214435.5
08102017;13:15:00;1.675.995.125;1205936.25
08102017;13:20:00;1672897.5;1195170.75
08102017;13:25:00;1628512.5;1169136
08102017;13:30:00;1.492.103.125;1084056.25
08102017;13:35:00;1673255.25;1.206.507.625
08102017;13:40:00;1.787.916.625;1.267.295.875
08102017;13:45:00;1.776.738.875;1.257.638.625
08102017;13:50:00;1.699.777.375;1213904
08102017;13:55:00;1.770.666.625;1.252.376.375
08102017;14:00:00;1761410;1.248.417.375
08102017;14:05:00;1.756.271.625;1.237.655.125
08102017;14:10:00;1.785.257.875;1332380.5
08102017;14:15:00;1695010.5;1267627.25
08102017;14:20:00;1796771.5;1.349.690.375
08102017;14:25:00;1816887;1.361.059.625
08102017;14:30:00;1.679.799.375;1.275.866.125
08102017;14:35:00;1.617.495.375;1264760
08102017;14:40:00;1607468.5;1268837.25
08102017;14:45:00;1587527.75;1247034
08102017;14:50:00;1.522.435.875;1171939
08102017;14:55:00;1543398.75;1.191.050.125
08102017;15:00:00;1580529.5;1.223.490.875
08102017;15:05:00;1538379.5;1184143.25
08102017;15:10:00;1.479.267.125;1.128.871.125
08102017;15:15:00;1.578.013.625;1.249.010.375
08102017;15:20:00;1.711.877.125;1.396.991.625
08102017;15:25:00;1.488.892.375;1152011
08102017;15:30:00;1587477;1.269.351.875
08102017;15:35:00;1.633.899.625;1311330
08102017;15:40:00;1612152.5;1.287.999.625
08102017;15:45:00;1534318.5;1202789
08102017;15:50:00;1.506.047.125;1173837
08102017;15:55:00;1536358;1.215.035.625
08102017;16:00:00;1566194.5;1.238.349.875
08102017;16:05:00;1.728.400.625;1.403.319.625
08102017;16:10:00;1.627.044.125;1.297.195.125
08102017;16:15:00;1555388.5;1221684.5
08102017;16:20:00;1514305.25;1.169.216.875
08102017;16:25:00;1.505.129.375;1.165.472.625
08102017;16:30:00;1.457.420.875;1.116.619.625
08102017;16:35:00;1490994.75;1.142.803.875
08102017;16:40:00;1.454.023.125;1.113.565.125
08102017;16:45:00;1466698.5;1130937.25
08102017;16:50:00;1461078.5;1.124.932.375
08102017;16:55:00;1.477.197.875;1140643.75
08102017;17:00:00;1.481.809.625;1.147.954.625
08102017;17:05:00;1515429.25;1181472
08102017;17:10:00;1488271.25;1.154.897.625
