registroDate1;registrotime1;registroFloat1;registroFloat2
20171102;00:35:00;841252.25;66.603.854.166.667
20171102;00:40:00;861199.25;68.940.341.666.667
20171102;00:45:00;805537.5;62.912.629.166.667
20171102;00:50:00;813067.75;63.651.716.666.667
20171102;00:55:00;79.523.908.333.333;617909.5
20171102;01:00:00;846055.5;67.182.154.166.667
20171102;01:05:00;87.719.108.333.333;69.528.754.166.667
20171102;01:10:00;90.099.858.333.333;70.496.833.333.333
20171102;01:15:00;92.923.716.666.667;73.209.466.666.667
20171102;01:20:00;897080.5;697.743.125
20171102;01:25:00;854357.5;65.803.579.166.667
20171102;01:30:00;865436.5;66.539.733.333.333
20171102;01:35:00;87.477.783.333.333;67.493.029.166.667
20171102;01:40:00;87.532.841.666.667;675.380.875
20171102;01:45:00;84.769.033.333.333;64.715.020.833.333
20171102;01:50:00;846427.5;64.235.545.833.333
20171102;01:55:00;84.418.333.333.333;641016
20171102;02:00:00;816654;61.177.483.333.333
20171102;02:05:00;80.664.266.666.667;60.368.691.666.667
20171102;02:10:00;79.951.208.333.333;600949.25
20171102;02:15:00;816564.25;61.558.954.166.667
20171102;02:20:00;83.012.566.666.667;63.027.166.666.667
20171102;02:25:00;84.637.083.333.333;64.902.495.833.333
20171102;02:30:00;85.735.916.666.667;660.085.125
20171102;02:35:00;86.915.358.333.333;67.372.054.166.667
20171102;02:40:00;88.123.083.333.333;68.671.570.833.333
20171102;02:45:00;87.615.758.333.333;67.945.070.833.333
20171102;02:50:00;86.700.258.333.333;66.986.708.333.333
20171102;02:55:00;870313.5;67.353.154.166.667
20171102;03:00:00;88.116.058.333.333;68.450.433.333.333
20171102;03:05:00;86.584.833.333.333;66.656.779.166.667
20171102;03:10:00;82.284.608.333.333;629097.25
20171102;03:15:00;828725;62.598.970.833.333
20171102;03:20:00;832105.75;62.684.520.833.333
20171102;03:25:00;86.124.333.333.333;65.805.933.333.333
20171102;03:30:00;84.081.233.333.333;636.018.125
20171102;03:35:00;838921.5;643203
20171102;03:40:00;76.867.208.333.333;587.166.375
20171102;03:45:00;748590.75;56.611.008.333.333
20171102;03:50:00;76.779.833.333.333;58.556.895.833.333
20171102;03:55:00;74.716.041.666.667;56.538.358.333.333
20171102;04:00:00;76.829.116.666.667;589.349.625
20171102;04:05:00;90.073.158.333.333;730395.5
20171102;04:10:00;96.906.541.666.667;80.941.258.333.333
20171102;04:15:00;943317;777637.75
20171102;04:20:00;916431.75;74.609.741.666.667
20171102;04:25:00;934287;766178.25
20171102;04:30:00;836174.5;67.471.516.666.667
20171102;04:35:00;715198.75;56.627.920.833.333
20171102;04:40:00;71.290.166.666.667;562348.75
20171102;04:45:00;720255.5;569.939.625
20171102;04:50:00;756878.5;60.649.370.833.333
20171102;04:55:00;66.477.804.166.667;532772.25
20171102;05:00:00;683.950.375;55.176.620.833.333
20171102;05:05:00;66.117.233.333.333;52.712.470.833.333
20171102;05:10:00;559.501.375;43.455.170.833.333
20171102;05:15:00;55.515.016.666.667;42.737.866.666.667
